route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
06260926-21,20260825,20260825-21-21351,21C - Square One,,1,DDS21003,429547,1,1,21C
06260926-21,20260825,20260825-21-21270,21C - Union Station,,0,DDS21003,429549,1,1,21C
06260926-27,20260825,20260825-27-27130,27F - Finch Terminal,,0,DDS21003,429572,1,1,27F
06260926-17,20260825,20260825-17-17071,17 - U of Waterloo,,0,DDS21002,429531,1,1,17
06260926-33,20260825,20260825-33-33400,33F - Mount Pleasant GO,,0,DDS21001,429608,1,1,33F
06260926-29,20260825,20260825-29-29181,29 - Guelph Central GO,,1,DDS21001,429580,1,1,29
06260926-29,20260825,20260825-29-29130,29 - Kipling Bus Terminal,,0,DDS21001,429579,1,1,29
06260926-40,20260825,20260825-40-40951,40C - Hamilton GO,,1,DDS11009,429635,1,1,40C
06260926-40,20260825,20260825-40-40860,40C - Unionville GO,,0,DDS11009,429636,1,1,40C
06260926-40,20260825,20260825-40-40791,40 - Hamilton GO,,1,DDS11009,429630,1,1,40
06260926-40,20260825,20260825-40-40650,40 - Richmond Hill Ctr,,0,DDS11009,429629,1,1,40
06260926-11,20260825,20260825-11-11570,11 - Aldershot GO,,0,DDS11008,429515,1,1,11
06260926-11,20260825,20260825-11-11161,11 - Brock University,,1,DDS11008,429514,1,1,11
06260926-15,20260825,20260825-15-15320,15 - Aldershot GO,,0,DDS11008,429524,1,1,15
06260926-17,20260825,20260825-17-17131,17 - U of Waterloo,,0,DDS11007,429531,1,1,17
06260926-40,20260825,20260825-40-40265,40M - Hamilton GO,,1,DDS11006,429634,1,1,40M
06260926-40,20260825,20260825-40-40084,40M - Unionville GO,,0,DDS11006,429633,1,1,40M
06260926-15,20260825,20260825-15-15570,15 - Aldershot GO,,0,DDS11005,429524,1,1,15
06260926-15,20260825,20260825-15-15201,15 - Brantford Term,,1,DDS11005,429523,1,1,15
06260926-15,20260825,20260825-15-15370,15 - Aldershot GO,,0,DDS11005,429524,1,1,15
06260926-15,20260825,20260825-15-15091,15 - Brantford Term,,1,DDS11005,429523,1,1,15
06260926-15,20260825,20260825-15-15220,15 - Aldershot GO,,0,DDS11005,429524,1,1,15
06260926-40,20260825,20260825-40-40201,40 - Hamilton GO,,1,DDS11004,429630,1,1,40
06260926-40,20260825,20260825-40-40060,40 - Richmond Hill Ctr,,0,DDS11004,429629,1,1,40
06260926-18,20260825,20260825-18-18121,18 - Hamilton GO,,1,DDS11003,429534,1,1,18
06260926-16,20260825,20260825-16-16101,16 - Hamilton GO,,1,DDS11003,429528,1,1,16
06260926-16,20260825,20260825-16-16090,16 - Union Station,,0,DDS11003,429529,1,1,16
06260926-40,20260825,20260825-40-40175,40M - Hamilton GO,,1,DDS11002,429634,1,1,40M
06260926-40,20260825,20260825-40-40020,40C - Unionville GO,,0,DDS11002,429636,1,1,40C
06260926-31,20260825,20260825-31-31101,31 - U of Guelph,,1,DDS11001,429598,1,1,31
06260926-18,20260825,20260825-18-18020,18G - Union Station,,0,DDS11001,429537,1,1,18G
06260926-33,20260825,20260825-33-33921,33A - Brampton Term,,1,bramp024,429617,1,1,33A
06260926-94,20260825,20260825-94-94831,94 - Pickering GO,,0,bramp024,430188,1,1,94
06260926-25,20260825,20260825-25-25720,25 - Square One,,0,bramp024,429564,1,1,25
06260926-29,20260825,20260825-29-29621,29 - Guelph Central GO,,1,bramp024,429580,1,1,29
06260926-21,20260825,20260825-21-21865,21A - Milton GO,,1,bramp023,429556,1,1,21A
06260926-21,20260825,20260825-21-21801,21C - Square One,,1,bramp023,429547,1,1,21C
